word,sentiment
affront,negative
afloat,positive
afraid,negative
against,negative
aggravate,negative
aggravating,negative
aggravation,negative
aggression,negative
aggression,negative
aggressive,negative
aggressiveness,negative
aggressor,negative
aggrieve,negative
aggrieved,negative
aghast,negative
agile,positive
agilely,positive
agility,positive
agitate,negative
agitated,negative
agitation,negative
agitator,negative
agonies,negative
agonize,negative
agonizing,negative
agonizing,negative
agonizingly,negative
agony,negative
agree,positive
agreeability,positive
agreeable,positive
agreeable,positive
agreeableness,positive
agreeably,positive
agreement,positive
agreement,positive
aha,neutral
ail,negative
ail,negative
ailment,negative
aimless,negative
air,neutral
airs,negative
airs,negative
alarm,negative
alarm,negative
alarmed,negative
alarming,negative
alarmingly,negative
alas,negative
alert,neutral
alienate,negative
alienated,negative
alienation,negative
all-time,neutral
all-time,neutral
allay,positive
allegation,negative
allegations,negative
allege,negative
allegations,negative
allegorize,neutral
allergic,negative
alleviate,positive
alliance,neutral
alliances,neutral
alliances,neutral
allow,positive
allowable,positive
allure,positive
allure,positive
alluring,positive
alluringly,positive
allusion,neutral
allusion,neutral
allusions,neutral
ally,positive
almighty,positive
aloof,negative
altercation,negative
although,negative
altogether,neutral
altruist,positive
altruistic,positive
altruistically,positive
amaze,positive
amazed,positive
amazement,positive
amazing,positive
amazing,positive
amazingly,positive
ambiguous,negative
ambiguity,negative
ambitious,positive
ambitious,positive
ambitiously,positive
ambivalence,negative
ambivalent,negative
ambivalent,negative
ambush,negative
ambush,negative
ameliorate,positive
amenable,positive
amenity,positive
amiability,positive
amiabily,positive
amiable,positive
amicability,positive
amicable,positive
amicably,positive
amiss,negative
amity,positive
amity,positive
amnesty,positive
amour,positive
ample,positive
amply,positive
amplify,neutral
amputate,negative
amuse,positive
amusement,positive
amusement,positive
amusing,positive
amusing,positive
amusingly,positive
analytical,neutral
anarchism,negative
anarchist,negative
anarchistic,negative
anarchy,negative
anemic,negative
angel,positive
angelic,positive
anger,negative
anger,negative
anger,negative
angrily,negative
angriness,negative
angry,negative
anguish,negative
anguish,negative
annihilate,negative
annihilation,negative
animated,positive
animosity,negative
annoy,negative
annoyance,negative
annoyed,negative
annoying,negative
annoying,negative
annoyingly,negative
anomalous,negative
anomaly,negative
antagonism,negative
antagonist,negative
antagonistic,negative
antagonize,negative
anti-,negative
anti-American,negative
anti-American,negative
anti-Israeli,negative
anti-Israeli,negative
anti-Semites,negative
anti-Semites,negative
anti-US,negative
anti-US,negative
anti-occupation,negative
anti-occupation,negative
anti-proliferation,negative
anti-proliferation,negative
anti-social,negative
anti-white,negative
anti-white,negative
antipathy,negative
antiquated,negative
antithetical,negative
antithetical,negative
anxieties,negative
anxiety,negative
anxious,negative
anxiously,negative
anxiousness,negative
anyhow,neutral
anyway,neutral
anyways,neutral
apathetic,negative
apathetic,negative
apathetically,negative
apathy,negative
ape,negative
apocalypse,negative
apocalyptic,negative
apologist,negative
apologist,negative
apologists,negative
apologists,negative
apostle,positive
apostle,positive
apotheosis,positive
apotheosis,positive
appal,negative
appall,negative
appall,negative
appall,negative
appalled,negative
appalling,negative
appallingly,negative
apparent,neutral
apparently,neutral
appeal,positive
appeal,positive
appeal,positive
appealing,positive
appear,neutral
appearance,neutral
appearance,neutral
appease,positive
applaud,positive
appreciable,positive
appreciate,positive
appreciation,positive
appreciation,positive
appreciative,positive
appreciatively,positive
appreciativeness,positive
apprehend,neutral
apprehension,negative
apprehensions,negative
apprehensions,negative
apprehensive,negative
apprehensive,negative
apprehensively,negative
appropriate,positive
approval,positive
approve,positive
apt,positive
aptly,positive
aptitude,positive
arbitrary,negative
arcane,negative
archaic,negative
ardent,positive
ardently,positive
ardor,positive
arduous,negative
arduously,negative
aristocratic,positive
argue,negative
argument,negative
argument,negative
argumentative,negative
arguments,negative
arguments,negative
arousal,positive
arouse,positive
arousing,positive
arresting,positive
arrogance,negative
arrogant,negative
arrogant,negative
arrogantly,negative
arrogantly,negative
articulate,positive
artificial,negative
ascendant,positive
ascendant,positive
ascertainable,positive
ascertainable,positive
ashamed,negative
asinine,negative
asininely,negative
asinininity,negative
askance,negative
asperse,negative
aspersion,negative
aspersions,negative
aspiration,positive
aspirations,positive
aspirations,positive
aspire,positive
assail,negative
assassinate,negative
assassin,negative
assault,negative
assault,negative
assent,positive
assertions,positive
assertions,positive
assertive,positive
assess,neutral
assessment,neutral
assessment,neutral
assessments,neutral
assessments,neutral
asset,positive
assiduous,positive
assiduously,positive
assuage,positive
assumption,neutral
assumption,neutral
assurance,positive
assurance,positive
assurances,positive
assurances,positive
assure,positive
assuredly,positive
astonish,positive
astonished,positive
astonishing,positive
astonishing,positive
astonishingly,positive
astonishment,positive
astound,positive
astounded,positive
astounding,positive
astounding,positive
astounding,positive
astoundingly,positive
astray,negative
astronomic,neutral
astronomical,neutral
astronomically,neutral
astute,positive
astutely,positive
asunder,negative
asylum,positive
asylum,positive
atrocious,negative
atrocities,negative
atrocity,negative
atrophy,negative
attack,negative
attack,negative
attain,positive
attainable,positive
attentive,positive
attest,positive
attitude,neutral
attitude,neutral
attitudes,neutral
attitudes,neutral
attraction,positive
attraction,positive
attractive,positive
attractive,positive
attractively,positive
attune,positive
audacious,negative
audaciously,negative
audaciousness,negative
audacity,negative
auspicious,positive
austere,negative
authentic,positive
authoritarian,negative
authoritative,positive
autocrat,negative
autocratic,negative
award,positive
award,positive
awareness,neutral
aware,neutral
autocratic,negative
autocratic,negative
autonomous,positive
avalanche,negative
avalanche,negative
avarice,negative
avaricious,negative
avariciously,negative
avenge,negative
aver,positive
averse,negative
aversion,negative
avid,positive
avidly,positive
avoid,negative
avoidance,negative
awe,positive
awe,positive
awed,positive
awesome,positive
awesome,positive
awesomely,positive
awesomeness,positive
awestruck,positive
awful,negative
awful,negative
awfully,negative
awfulness,negative
awfulness,negative
awkward,negative
awkwardness,negative
ax,negative
babble,negative
baby,neutral
baby,neutral
back,positive
backbite,negative
backbiting,negative
backbone,positive
backward,negative
backwardness,negative
bad,negative
badly,negative
baffle,negative
baffled,negative
bafflement,negative
baffling,negative
bait,negative
balanced,positive
balk,negative
banal,negative
banal,negative
banalize,negative
bane,negative
banish,negative
banish,negative
banishment,negative
bankrupt,negative
bankrupt,negative
bar,negative
barbarian,negative
barbarian,negative
barbaric,negative
barbarically,negative
barbarity,negative
barbarity,negative
barbarous,negative
barbarous,negative
barbarously,negative
barely,negative
bargain,positive
bargain,positive
barren,negative
baseless,negative
bashful,negative
basic,positive
basically,neutral
bask,positive
bastard,negative
bastard,negative
batons,neutral
batons,neutral
battered,negative
battering,negative
battering,negative
battle,negative
battle-lines,negative
battle-lines,negative
battlefield,negative
battleground,negative
battleground,negative
batty,negative
beacon,positive
bearish,negative
beast,negative
beast,negative
beastly,negative
beatify,positive
beauteous,positive
beautiful,positive
beautiful,positive
beautifully,positive
beautify,positive
beauty,positive
bedlam,negative
bedlamite,negative
befit,positive
befitting,positive
befoul,negative
befriend,positive
beg,negative
beggar,negative
beggarly,negative
begging,negative
begging,negative
beguile,negative
belated,negative
belabor,negative
beleaguer,negative
belie,negative
belief,neutral
belief,neutral
beliefs,neutral
beliefs,neutral
believable,positive
believe,neutral
belittle,negative
belittled,negative
belittling,negative
bellicose,negative
bellicose,negative
belligerence,negative
belligerent,negative
belligerent,negative
belligerently,negative
beloved,positive
bemoan,negative
bemoaning,negative
bemused,negative
benefactor,positive
beneficial,positive
beneficent,positive
beneficial,positive
beneficially,positive
beneficiary,positive
beneficiary,positive
benefit,positive
benefit,positive
benefits,positive
benefits,positive
benevolence,positive
benevolent,positive
benign,positive
bent,negative
berate,negative
bereave,negative
bereavement,negative
bereft,negative
berserk,negative
beseech,negative
beset,negative
besides,neutral
besiege,negative
besmirch,negative
best,positive
best-known,positive
best-performing,positive
best-selling,positive
bestial,negative
betray,negative
betrayal,negative
betrayals,negative
betrayer,negative
better,positive
better,positive
better-known,positive
better-than-expected,positive
bewail,negative
beware,negative
bewilder,negative
bewildered,negative
bewildering,negative
bewildering,negative
bewilderingly,negative
bewilderment,negative
bewitch,negative
bias,negative
bias,negative
bias,negative
biased,negative
biased,negative
biases,negative
biases,negative
bicker,negative
bickering,negative
bid-rigging,negative
big,neutral
bitch,negative
bitchy,negative
biting,negative
bitingly,negative
bitter,negative
bitterly,negative
bitterness,negative
bizarre,negative
blab,negative
blabber,negative
black,negative
blackmail,negative
blah,negative
blame,negative
blame,negative
blame,negative
blameless,positive
blameworthy,negative
bland,negative
blandish,negative
blaspheme,negative
blasphemous,negative
blasphemous,negative
blasphemy,negative
blast,negative
blasted,negative
blatant,negative
blatantly,negative
blather,negative
bleak,negative
bleakly,negative
bleakness,negative
bleed,negative
blemish,negative
blemish,negative
bless,positive
blessing,positive
blessing,positive
blind,negative
blinding,negative
blinding,negative
blindingly,negative
blindness,negative
blindside,negative
bliss,positive
blissful,positive
blissfully,positive
blister,negative
blistering,negative
blithe,positive
bloated,negative
block,negative
block,negative
blockhead,negative
blood,neutral
blood,negative
bloodshed,negative
bloodthirsty,negative
bloody,negative
bloom,positive
blossom,positive
blow,negative
blow,negative
blunder,negative
blunder,negative
blundering,negative
blunders,negative
blunt,negative
blur,negative
blurt,negative
boast,positive
boast,negative
boastful,negative
boggle,negative
bogus,negative
boil,negative
boiling,negative
boisterous,negative
bold,positive
boldly,positive
boldness,positive
bolster,positive
bombard,negative
bomb,negative
bombardment,negative
bombardment,negative
bombastic,negative
bondage,negative
bonkers,negative
bonkers,negative
bonny,positive
bonus,positive
boom,positive
booming,positive
boost,positive
boost,positive
bore,negative
boredom,negative
boring,negative
boring,negative
botch,negative
bother,negative
bother,negative
bothersome,negative
boundless,positive
bountiful,positive
bowdlerize,negative
boycott,negative
boycott,negative
brag,both
brag,both
braggart,negative
braggart,negative
bragger,negative
bragger,negative
brains,positive
brains,positive
brainwash,negative
brainy,positive
brash,negative
brashly,negative
brashness,negative
brat,negative
bravado,negative
brave,positive
brave,positive
bravery,positive
bravery,positive
brazen,negative
brazenly,negative
brazenly,negative
brazenness,negative
brazenness,negative
breach,negative
breach,negative
break,negative
break-point,negative
break-point,negative
breakdown,negative
breakthrough,positive
breakthrough,positive
breakthroughs,positive
breakthroughs,positive
breathlessness,positive
breathlessness,positive
breathtaking,positive
breathtakingly,positive
bright,positive
brighten,positive
brightness,positive
brilliance,positive
brilliant,positive
brilliant,positive
brilliantly,positive
brimstone,negative
brimstone,negative
brisk,positive
bristle,negative
brittle,negative
broad,positive
broad-based,neutral
broke,negative
broken-hearted,negative
brood,negative
brook,positive
brotherly,positive
browbeat,negative
bruise,negative
brusque,negative
brutal,negative
brutalising,negative
brutalising,negative
brutalities,negative
brutalities,negative
brutality,negative
brutalize,negative
brutalizing,negative
brutally,negative
brute,negative
brutish,negative
bug,negative
buckle,negative
bulky,negative
bull,positive
bull,positive
bullies,negative
bullies,negative
bullish,positive
bullish,positive
bully,negative
bully,negative
bullyingly,negative
bum,negative
bumpy,negative
bungle,negative
bungler,negative
bunk,negative
buoyant,positive
burden,negative
burden,negative
burdensome,negative
burdensome,negative
burdensomely,negative
burn,negative
busy,negative
busybody,negative
butcher,negative
butchery,negative
byzantine,negative
cackle,negative
cajole,negative
calamities,negative
calamitous,negative
calamitously,negative
calamity,negative
calamity,negative
callous,negative
calm,positive
calm,positive
calming,positive
calmness,positive
calumniate,negative
calumniation,negative
calumnies,negative
calumnious,negative
calumniously,negative
calumny,negative
cancer,negative
cancerous,negative
candid,positive
candor,positive
cannibal,negative
cannibalize,negative
capable,positive
capability,positive
capably,positive
capitalize,positive
capitulate,negative
capricious,negative
capriciously,negative
capriciousness,negative
capsize,negative
captivate,positive
captivating,positive
captivation,positive
captive,negative
care,positive
carefree,positive
careful,positive
careless,negative
carelessness,negative
caricature,negative
carnage,negative
carp,negative
cartoon,negative
cartoon,negative
cartoonish,negative
cash-strapped,negative
castigate,negative
casualty,negative
cataclysm,negative
cataclysmal,negative
cataclysmic,negative
cataclysmically,negative
catalyst,positive
catalyst,positive
catastrophe,negative
catastrophe,negative
catastrophes,negative
catastrophic,negative
catastrophic,negative
catastrophically,negative
catchy,positive
caustic,negative
caustically,negative
cautionary,negative
cautious,negative
cave,negative
ceaseless,neutral
celebrate,positive
celebrated,positive
celebration,positive
celebratory,positive
celebrity,positive
censure,negative
censure,negative
censure,negative
central,neutral
certain,neutral
certainly,neutral
certified,neutral
chafe,negative
chaff,negative
chagrin,negative
chagrin,negative
challenge,negative
challenge,negative
challenging,negative
champion,positive
champion,positive
champ,positive
champion,positive
chant,neutral
chant,neutral
chaos,negative
chaotic,negative
charisma,negative
charismatic,positive
charitable,positive
charitable,positive
charity,positive
charm,positive
charm,positive
charm,positive
charming,positive
charming,positive
charmingly,positive
chaste,positive
chasten,negative
chastise,negative
chastisement,negative
chatter,negative
chatterbox,negative
cheapen,negative
cheap,negative
cheat,negative
cheat,negative
cheater,negative
cheer,positive
cheer,positive
cheery,positive
cheerful,positive
cheerless,negative
cherish,positive
cherished,positive
cherub,positive
chic,positive
chide,negative
childish,negative
chill,negative
chilly,negative
chit,negative
chivalry,positive
chivalrous,positive
choppy,negative
choke,negative
chore,negative
chronic,negative
chum,positive
civility,positive
civilization,positive
civilize,positive
civilize,positive
civil,positive
claim,neutral
clamor,negative
clamorous,negative
clandestine,neutral
clarity,positive
clash,negative
clash,negative
classic,positive
clean,positive
cleanliness,positive
cleanse,positive
clear,positive
clear-cut,positive
clearer,positive
clearer,positive
clearly,positive
clever,positive
cliche,negative
cliched,negative
clique,negative
clog,negative
close,negative
closeness,positive
closeness,positive
cloud,negative
clout,positive
clout,positive
clumsy,negative
co-operation,positive
co-operation,positive
coarse,negative
coax,positive
cocky,negative
coddle,positive
coerce,negative
coercion,negative
coercive,negative
cogent,positive
cohesive,positive
cogitate,neutral
cognizance,neutral
cognizance,neutral
cognizant,neutral
cohere,positive
coherence,positive
coherence,positive
coherent,positive
cohesion,positive
cohesive,positive
cold,negative
coldly,negative
collapse,negative
collapse,negative
collide,negative
collude,negative
collusion,negative
colorful,positive
colossal,positive
combative,negative
comeback,positive
comeback,positive
comedy,negative
comedy,negative
comely,positive
comfort,positive
comfortable,positive
comfortable,positive
comfortably,positive
comforting,positive
comical,negative
commend,positive
commendable,positive
commendably,positive
commensurate,positive
commonsense,positive
commonsensible,positive
commonsensibly,positive
commonsensical,positive
comment,neutral
comment,neutral
commentator,neutral
commentator,neutral
commodious,positive
commiserate,negative
commitment,positive
commitment,positive
commonplace,negative
commotion,negative
commotion,negative
compact,positive
compassion,positive
compassionate,positive
compatible,positive
compatible,positive
compel,negative
compelling,positive
compelling,positive
compensate,positive
competent,positive
competence,positive
competency,positive
competitive,positive
competitive,positive
competitiveness,positive
complacent,negative
complacent,negative
complain,negative
complaining,negative
complaining,negative
complaint,negative
complaints,negative
complaints,negative
complement,positive
complement,positive
complete,neutral
completely,neutral
complex,negative
compliant,positive
compliant,positive
complicate,negative
complicated,negative
complication,negative
complicit,negative
compliment,positive
complimentary,positive
comprehend,neutral
comprehensive,positive
compromise,positive
compromise,positive
compromise,positive
compromises,positive
compromises,positive
compulsion,negative
compulsive,negative
compulsory,negative
comrades,positive
comrades,positive
concede,negative
conceit,negative
conceited,negative
conceivable,positive
conceivable,positive
concern,negative
concern,negative
concern,negative
concerned,negative
concerning,neutral
concerning,neutral
concerns,negative
concerns,negative
concerted,neutral
concession,negative
concession,negative
concessions,negative
concessions,negative
conciliate,positive
conciliatory,positive
conclusive,positive
concrete,positive
concur,positive
condescend,negative
condescending,negative
condescendingly,negative
condescension,negative
condemn,negative
condemn,negative
condemnable,negative
condemnation,negative
condolence,negative
condolences,negative
condolences,negative
condone,positive
conducive,positive
conducive,positive
confer,positive
confess,negative
confession,negative
confessions,negative
confessions,negative
confide,neutral
confidence,positive
confidence,positive
confident,positive
conflict,negative
conflict,negative
confound,negative
confound,negative
confounded,negative
confounding,negative
confront,negative
confrontation,negative
confrontation,negative
confrontational,negative
confuse,negative
confused,negative
confusing,negative
confusing,negative
confusion,negative
confusion,negative
confute,positive
congenial,positive
congested,negative
congestion,negative
congratulate,positive
congratulations,positive
congratulations,positive
congratulatory,positive
conjecture,neutral
conquer,positive
conscience,neutral
conscience,positive
conscientious,positive
consciousness,neutral
consciousness,neutral
consensus,positive
consent,positive
consequently,neutral
consider,neutral
considerable,neutral
considerably,neutral
considerate,positive
consideration,neutral
consideration,neutral
consistent,positive
console,positive
conspicuous,negative
conspicuous,negative
conspicuously,negative
conspiracies,negative
conspiracies,negative
conspiracy,negative
conspiracy,negative
conspirator,negative
conspirator,negative
conspiratorial,negative
conspire,negative
constancy,positive
consternation,negative
constitutions,neutral
constitutions,neutral
constrain,negative
constraint,negative
constructive,positive
constructive,positive
constructive,positive
consume,negative
consummate,positive
contagious,negative
contaminate,negative
contamination,negative
contemplate,neutral
contempt,negative
contemptible,negative
contemptuous,negative
contemptuously,negative
contend,negative
content,positive
content,positive
contention,negative
contentment,positive
contentious,negative
contentious,negative
continuity,positive
continuous,neutral
contort,negative
contortions,negative
contortions,negative
contradict,negative
contradiction,negative
contradictory,negative
contrariness,negative
contrary,negative
contravene,negative
contribution,positive
contribution,positive
contrive,negative
contrived,negative
controversial,negative
controversial,negative
controversy,negative
controversy,negative
convenient,positive
convenient,positive
conveniently,positive
conviction,positive
conviction,positive
convince,positive
convincing,positive
convincing,positive
convincingly,positive
convoluted,negative
cooperate,positive
cooperation,positive
cooperation,positive
cooperative,positive
cooperatively,positive
coping,negative
coping,negative
cordial,positive
cornerstone,positive
cornerstone,positive
correct,positive
correct,positive
corrective,neutral
correctly,positive
corrode,negative
corrosion,negative
corrosive,negative
corrupt,negative
corrupt,negative
corruption,negative
cost-effective,positive
cost-saving,positive
costly,negative
could,neutral
counterproductive,negative
coupists,negative
coupists,negative
courage,positive
courage,positive
courageous,positive
courageously,positive
courageousness,positive
court,positive
courteous,positive
courtesy,positive
courtly,positive
covenant,positive
covert,neutral
covet,both
coveting,both
covetingly,both
covetous,negative
covetous,negative
covetously,both
cow,negative
coward,negative
cowardly,negative
cozy,positive
crackdown,negative
crackdown,negative
crafty,negative
cramped,negative
cranky,negative
crass,negative
crave,positive
craven,negative
cravenly,negative
craving,positive
craze,negative
crazily,negative
craziness,negative
crazy,negative
creative,positive
credence,positive
credence,positive
credible,positive
credulous,negative
crime,negative
criminal,negative
cringe,negative
cripple,negative
crippling,negative
crisis,negative
crisis,negative
crisp,positive
critic,negative
critical,negative
criticism,negative
criticism,negative
criticisms,negative
criticisms,negative
criticize,negative
critics,negative
critics,negative
crook,negative
crooked,negative
cross,negative
crowded,negative
crude,negative
cruel,negative
cruelties,negative
cruelty,negative
crumble,negative
crumple,negative
crusade,positive
crusade,positive
crusader,positive
crush,negative
crushing,negative
cry,negative
culpable,negative
cuplrit,negative
cumbersome,negative
cure-all,positive
cure-all,positive
curious,positive
curiously,positive
curse,negative
curse,negative
cursed,negative
cursed,negative
curses,negative
cursory,negative
curt,negative
cuss,negative
cut,negative
cute,positive
cutthroat,negative
cynical,negative
cynicism,negative
damage,negative
damage,negative
damaging,negative
damn,negative
damn,negative
damn,negative
damnable,negative
damnably,negative
damnation,negative
damned,negative
damning,negative
dance,positive
dance,positive
danger,negative
danger,negative
dangerous,negative
dangerousness,negative
dangerousness,negative
dangle,negative
dare,positive
daring,positive
daringly,positive
dark,negative
darken,negative
darkness,negative
darling,positive
darn,negative
dash,negative
dashing,positive
dastard,negative
dastardly,negative
daunt,negative
daunting,negative
dauntingly,negative
dauntless,positive
dawdle,negative
dawn,positive
daydream,positive
daydreamer,positive
daze,negative
dazed,negative
dazzle,positive
dazzled,positive
dazzling,positive
dead,negative
deadbeat,negative
deadlock,negative
deadlock,negative
deadly,negative
deadweight,negative
deaf,negative
deal,positive
dear,positive
dearth,negative
death,negative
debacle,negative
debase,negative
debasement,negative
debaser,negative
debatable,negative
debate,negative
debauch,negative
debaucher,negative
debauchery,negative
debilitate,negative
debilitating,negative
debility,negative
decadence,negative
decadent,negative
decay,negative
decay,negative
decayed,negative
deceit,negative
deceitful,negative
deceitfully,negative
deceitfulness,negative
deceiving,negative
deceive,negative
deceiver,negative
deceivers,negative
decent,positive
decency,positive
deception,negative
deception,negative
deceptive,negative
deceptive,negative
deceptively,negative
decide,neutral
decisive,positive
decisiveness,positive
decisiveness,positive
declaim,negative
decline,negative
decline,negative
declining,negative
decrease,negative
decrease,negative
decreasing,negative
decrement,negative
decrepit,negative
decrepitude,negative
decry,negative
dedicated,positive
deduce,neutral
deep,neutral
deep,negative
deeply,neutral
deepening,negative
deepening,negative
defamation,negative
defamations,negative
defamatory,negative
defame,negative
defeat,negative
defeat,negative
defect,negative
defective,negative
defend,positive
defender,positive
defender,positive
defensive,negative
deference,positive
defense,positive
defiance,negative
defiance,negative
defiant,negative
defiantly,negative
deficiency,negative
deficient,negative
defile,negative
defiler,negative
definite,positive
definitely,positive
definitive,positive
definitive,positive
definitively,positive
deflationary,positive
deform,negative
deformed,negative
defrauding,negative
defrauding,negative
deft,positive
defunct,negative
defy,negative
degenerate,negative
degenerate,negative
degenerately,negative
degeneration,negative
degradation,negative
degrade,negative
degrading,negative
degradingly,negative
dehumanization,negative
dehumanize,negative
deign,negative
deject,negative
dejected,negative
dejectedly,negative
dejection,negative
delectable,positive
delicacy,positive
delicate,positive
delicious,positive
delight,positive
delight,positive
delighted,positive
delightful,positive
delightful,positive
delightfully,positive
delightfulness,positive
delinquency,negative
delinquent,negative
delirious,negative
delirium,negative
delude,negative
deluded,negative
deluge,negative
delusion,negative
delusion,negative
delusional,negative
delusional,negative
delusions,negative
delusions,negative
demand,both
demand,both
demand,both
demands,both
demands,both
demean,negative
demeaning,negative
demise,negative
democratic,positive
demolish,negative
demolisher,negative
demon,negative
demonic,negative
demonize,negative
demonize,negative
demoralize,negative
demoralizing,negative
demoralizingly,negative
demystify,positive
denial,negative
denigrate,negative
deny,negative
denounce,negative
denunciate,negative
denunciation,negative
denunciations,negative
dependable,positive
dependent,neutral
dependent,neutral
deplete,negative
deplorable,negative
deplorable,negative
deplorably,negative
deplore,negative
deploring,negative
deploringly,negative
deprave,negative
depraved,negative
depravedly,negative
deprecate,negative
depress,negative
depressed,negative
depressing,negative
depressing,negative
depressingly,negative
depression,negative
depression,negative
deprive,negative
deprived,negative
deride,negative
derision,negative
derisive,negative
derisively,negative
derisiveness,negative
derogatory,negative
desecrate,negative
deserve,positive
deserved,positive
deservedly,positive
deserving,positive
desert,negative
desertion,negative
desiccate,negative
desiccated,negative
desirable,positive
desire,positive
desire,positive
desire,positive
desirous,positive
desolate,negative
desolately,negative
desolation,negative
despair,negative
despair,negative
despairing,negative
despairingly,negative
desperate,negative
desperately,negative
desperation,negative
despicable,negative
despicably,negative
despise,negative
despised,negative
despised,negative
despite,negative
despoil,negative
despoiler,negative
despondence,negative
despondency,negative
despondent,negative
despondently,negative
despot,negative
despotic,negative
despotism,negative
despotism,negative
destabilisation,negative
destabilisation,negative
destine,positive
destined,positive
destinies,positive
destinies,positive
destiny,positive
destiny,neutral
destiny,neutral
destitute,negative
destitution,negative
destroy,negative
destroyer,negative
destroyer,negative
destruction,negative
destructive,negative
desultory,negative
deter,negative
deteriorate,negative
deteriorating,negative
deteriorating,negative
deterioration,negative
determination,positive
determination,positive
deterrent,negative
detest,negative
detestable,negative
detestably,negative
detract,negative
detraction,negative
detriment,negative
detrimental,negative
devastate,negative
devastated,negative
devastating,negative
devastatingly,negative
devastation,negative
deviate,negative
deviate,negative
deviate,negative
deviation,negative
devil,negative
devilish,negative
devilishly,negative
devilment,negative
devilry,negative
devious,negative
deviously,negative
deviousness,negative
devoid,negative
devote,positive
devoted,positive
devotee,positive
devotion,positive
devout,positive
dexterity,positive
dexterous,positive
dexterously,positive
dextrous,positive
diabolic,negative
diabolical,negative
diabolically,negative
diametrically,negative
diatribe,negative
diatribes,negative
dictator,negative
dictatorial,negative
differ,negative
difference,neutral
difference,neutral
difficult,negative
difficulties,negative
difficulties,negative
difficulty,negative
difficulty,negative
diffidence,negative
diffidence,negative
dig,negative
dig,positive
dignified,positive
dignify,positive
dignity,positive
digress,negative
dilapidated,negative
dilemma,negative
dilemma,negative
diligence,positive
diligent,positive
diligently,positive
dilly-dally,negative
dim,negative
dim,negative
diminish,negative
diminishing,negative
din,negative
dinky,negative
diplomacy,neutral
diplomacy,neutral
diplomatic,positive
diplomatic,positive
dire,negative
direct,neutral
direly,negative
direness,negative
dirt,negative
dirty,negative
dirty,negative
disable,negative
disabled,negative
disaccord,negative
disadvantage,negative
disadvantaged,negative
disadvantageous,negative
disadvantageous,negative
disaffect,negative
disaffected,negative
disaffirm,negative
disagree,negative
disagreeable,negative
disagreeably,negative
disagreement,negative
disagreement,negative
